date,sp500 open,sp500 high,sp500 low,sp500 close,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq high-low,usd_chf,silver open,silver high,silver low,silver close,silver volume,oil high-low,gold open,gold high,gold low,gold close,standard__sp500 open,standard__sp500 high,standard__sp500 low,standard__sp500 close,standard__nasdaq open,standard__nasdaq high,standard__nasdaq low,standard__nasdaq close,standard__nasdaq high-low,standard__usd_chf,standard__silver open,standard__silver high,standard__silver low,standard__silver close,standard__silver volume,standard__oil high-low,standard__gold open,standard__gold high,standard__gold low,standard__gold close
2010-03-26,116.87,117.42,116.12,116.58,48.14,48.33,47.74,48.0,0.5899999999999963,1.0662,16.79,16.92,16.7,16.92,238954.0,0.5700000000000003,107.16,108.7,106.82,108.59,-1.246059306490958,-1.2482608472899737,-1.244904819373671,-1.2467711209119585,-1.0857675079047144,-1.0865934874838163,-1.085877764913184,-1.085816372477972,-0.7985161959768992,2.2913339638971943,-0.6636926242334008,-0.6721751180846487,-0.6571378230064848,-0.666184099297604,-0.6111301180493266,-0.48168025245412505,-1.2496087276251615,-1.2619819979432216,-1.2575520933269115,-1.269578285327917
2010-03-30,117.46,117.83,116.91,117.4,48.36,48.55,48.06,48.39,0.4899999999999949,1.0671,17.29,17.35,17.21,17.27,81770.0,0.4199999999999946,108.57,108.6615,107.87,107.97,-1.2432524928336255,-1.2448121094527491,-1.243327010304597,-1.2434694024984942,-1.0859311604321844,-1.0853752714338263,-1.088106000131734,-1.0876984245088381,-0.647110124033938,2.0771025185795193,-0.5674836702387969,-0.5773394265383142,-0.5623119928447613,-0.5747349800030029,-0.5818536013588914,-0.6154919251899066,-1.2020713431054466,-1.200889139587402,-1.1875116945746238,-1.191841725129812
2010-03-31,116.95,117.52,116.61,117.0,48.23,48.45,48.07,48.16,0.3800000000000025,1.0528,17.53,17.59,17.41,17.45,76390.0,0.720000000000006,109.44,109.5,108.85,108.95,-1.2395375924048035,-1.2399674539195054,-1.2365175185328041,-1.2355452783061802,-1.0865857705420654,-1.085212842627161,-1.0852175470706509,-1.0840161487962743,-0.7660720377034069,2.191869364285418,-0.5578627748393367,-0.55363050365173,-0.5443277836761585,-0.5362300876684343,-0.41283292125596327,-0.10998116152137251,-1.1820377310578525,-1.1835358626521602,-1.1755535777144772,-1.1704556845512941
2010-04-07,118.8,119.36,117.81,118.36,48.69,48.87,48.37,48.63,0.5,1.0716,18.05,18.23,18.04,18.12,208058.0,0.6400000000000006,111.85,112.93,111.77,112.49,-1.22756735768971,-1.230031804436073,-1.222898534989219,-1.2274560681931928,-1.0801214957069922,-1.0813145512671927,-1.0786153686453188,-1.0802520447345425,-0.8814290448980392,2.151700968288354,-0.4889130244765374,-0.4967290887239293,-0.5099942934451894,-0.5298126056126724,-0.5690446233089403,-0.23635885243850605,-1.0774554851144806,-1.0772508417813191,-1.0829635871687695,-1.0984899606997731
2010-04-12,119.7,120.05,119.56,119.74,49.05,49.2,48.94,49.07,0.2600000000000051,1.0598,18.38,18.46,18.11,18.12,102729.0,0.5850000000000009,113.64,114.13,112.98,113.01,-1.2169179764604194,-1.2175506579775466,-1.2113556160102048,-1.2146619093410185,-1.0733299158169782,-1.073274325337258,-1.0709403362258703,-1.0715782397227256,-0.8597996060490469,2.1459626260030595,-0.49853391987599754,-0.4978987289196675,-0.47566080321422033,-0.48649460173628245,-0.6186701262916163,-0.4222083979048771,-1.1025823883606152,-1.0914388431689026,-1.08740517343111,-1.0767644591596914
2010-04-14,120.27,121.19,120.08,121.19,49.57,49.92,49.5,49.91,0.4200000000000017,1.0512,18.39,18.4499,18.3201,18.4,99485.0,0.9393000000000028,113.23,113.66,112.78,113.03,-1.2332635383472372,-1.2310171581038514,-1.2319501764907483,-1.2268782674708365,-1.077584881531204,-1.0775786887138898,-1.0789454775665854,-1.0767334257203147,-0.701183721156425,2.25116556790013,-0.6139846646695218,-0.6121125134386367,-0.5990978752350848,-0.5955917966842276,-0.5937067754345868,-0.451944325179501,-1.1711686476401666,-1.1708240890279993,-1.161887158445738,-1.1616296995506357
2010-04-15,120.99,121.57,120.95,121.29,49.88,50.19,49.87,50.13,0.3200000000000003,1.0595,18.32,18.4526,18.32,18.39,78015.0,0.4600000000000008,112.9,113.71,112.85,113.65,-1.2204677702035163,-1.2223953135107901,-1.220324214929151,-1.2180461707148196,-1.074352744113667,-1.075791971840571,-1.0745715343598028,-1.0746877169911127,-0.8129358218762256,2.2951595254207238,-0.5658801876722205,-0.571032853050483,-0.5623119928447613,-0.5825001332904745,-0.5089936282373247,-0.3132262244433922,-1.142310059709234,-1.1421102766959856,-1.1393375666523184,-1.151106409742159
2010-10-14,117.81,118.01,116.72,117.46,50.54,50.64,50.17,50.42,0.4699999999999988,0.953,24.04,24.5,24.01,24.49,840082.0,0.6999999999999957,134.06,134.85,133.9,134.75,-1.2425095127478614,-1.242677176505896,-1.2419983289832717,-1.2386819107989713,-1.0571373164864382,-1.056706587057393,-1.0561679619991895,-1.0547215997941002,-0.7696769441782385,0.8031905312440448,0.34650139270993835,0.31696114474362364,0.335263537479142,0.3349431014011869,-0.3692635207656298,-0.08024523424675907,-0.5243240609529445,-0.5411470750647794,-0.5427983655718575,-0.538039913157977
2013-02-12,151.78,152.3,151.61,152.02,67.92,68.05,67.66,67.73,0.3900000000000005,0.9172,30.51,30.82,30.4,30.8,115153.0,0.2199999999999988,159.35,160.05,158.88,159.89,-0.9402817245274625,-0.9385313443849608,-0.9359033695829347,-0.9324475279501621,-0.9307067381266892,-0.9267554202847844,-0.9279206460871121,-0.9246145246168469,-0.6034907556884711,-0.28518172220022453,0.28556905518002285,0.2540534693512216,0.23716785110494473,0.24509835262052582,-0.3632776979772767,-0.689831743376456,-0.31821554378532513,-0.3377857218427521,-0.3442936256934221,-0.33606064102753
2013-02-15,152.43,152.59,151.55,152.11,67.95,68.11,67.56,67.75,0.5499999999999972,0.9226,29.72,29.81,29.38,29.49,449887.0,0.720000000000006,156.42,156.58,154.56,155.76,-0.9127914613541784,-0.9159503228317056,-0.9075028063396047,-0.9126372174693765,-0.9147506166983436,-0.9150686676452128,-0.9120754178663149,-0.9137313541774917,-0.7768867571279043,0.020863199682171596,0.23425761304956746,0.22402216702821534,0.22899321057376154,0.2402852410787051,-0.34833824090067605,-0.0951131978840605,-0.24724901975232255,-0.2523199039604051,-0.24692038840365624,-0.2376203567836502
